SIG_CD,SIG_KOR_NM,density,log_density,local_I_density,local_p_sim_density,local_q_density,lisa_sig_density,lisa_cluster_density,lisa_hh_density
11110,Á¾·Î±¸,1854.860672028489,7.526103841578164,-0.4120247821901619,0.11,2,False,Not significant,False
11140,Áß±¸,4015.9520653499203,8.29827870134059,0.17360570359693975,0.155,1,False,Not significant,False
11170,¿ë»ê±¸,2956.082927399127,7.9919585638958734,-0.0,0.001,3,True,LL,False
11200,¼ºµ¿±¸,4892.68963607504,8.495701824761385,0.4997067120468788,0.114,1,False,Not significant,False
11215,±¤Áø±¸,5608.964551964256,8.63229967977383,1.0245839899011564,0.135,1,False,Not significant,False
11230,µ¿´ë¹®±¸,6779.62305822476,8.821824273205545,0.22497079267709466,0.339,1,False,Not significant,False
11260,Áß¶û±¸,5806.206936725404,8.666855000474223,0.875952825757872,0.119,1,False,Not significant,False
11290,¼ººÏ±¸,4911.041520794325,8.499444922721693,0.11993058897144475,0.33,1,False,Not significant,False
11305,°­ºÏ±¸,3390.606427916197,8.129058960674012,0.0031428055349710517,0.428,1,False,Not significant,False
11320,µµºÀ±¸,4196.238781770038,8.342182155155783,0.0,0.001,4,True,HL,False
11350,³ë¿ø±¸,4113.343480908814,8.322234557468827,-0.18558432742221698,0.372,4,False,Not significant,False
11380,ÀºÆò±¸,4415.914626262602,8.393196682965673,-0.26757300238086396,0.336,4,False,Not significant,False
11410,¼­´ë¹®±¸,4906.044817477765,8.498427169424547,2.0993673386059726,0.022,1,True,HH,True
11440,¸¶Æ÷±¸,10738.264316585803,9.281661866329868,1.8325177474118937,0.183,1,False,Not significant,False
11470,¾çÃµ±¸,7330.766418726026,8.899971750667897,0.6190287022033623,0.315,1,False,Not significant,False
11500,°­¼­±¸,4119.940096294975,8.323836595027142,0.19684489731795263,0.214,1,False,Not significant,False
11530,±¸·Î±¸,5543.192858149831,8.620506327088254,0.6188292038875363,0.172,1,False,Not significant,False
11545,±ÝÃµ±¸,5083.601042877422,8.53397184776014,0.5679784432128082,0.146,1,False,Not significant,False
11560,¿µµîÆ÷±¸,4473.202587452697,8.406083422082741,1.5656681562178147,0.018,1,True,HH,True
11590,µ¿ÀÛ±¸,6514.394067412414,8.781922973902013,0.22797157995613526,0.363,1,False,Not significant,False
11620,°ü¾Ç±¸,4555.679014542471,8.424349350894598,0.2007539921583194,0.19,1,False,Not significant,False
11650,¼­ÃÊ±¸,2692.655282554237,7.898654391305041,-0.0671442475707359,0.24,2,False,Not significant,False
11680,°­³²±¸,4237.694953832057,8.352010706940202,0.09973350808274024,0.33,1,False,Not significant,False
11710,¼ÛÆÄ±¸,5689.430684731515,8.64654121577288,-0.4309262036598208,0.308,4,False,Not significant,False
11740,°­µ¿±¸,5355.296537197486,8.586028070699943,0.0,0.001,4,True,HL,False
26110,Áß±¸,5291.391262763273,8.57402545726433,-0.07062219566494926,0.431,4,False,Not significant,False
26140,¼­±¸,2181.7244722249743,7.688329133387147,-0.7872539147448243,0.062,2,False,Not significant,False
26170,µ¿±¸,2996.7184707914766,8.00560676857984,-0.07062219566494925,0.193,2,False,Not significant,False
26200,¿µµµ±¸,2393.574593020306,7.78096087111216,-0.0,0.001,3,True,LL,False
26230,ºÎ»êÁø±¸,3432.601086091558,8.141364868749108,0.06053736746794028,0.24,1,False,Not significant,False
26260,µ¿·¡±¸,4975.415061721375,8.512465043665724,0.0,0.001,4,True,HL,False
26290,³²±¸,3056.7379384046853,8.025430685761437,-0.042296669129991166,0.223,2,False,Not significant,False
26320,ºÏ±¸,1978.3098707432532,7.590503512801196,0.3033293617107024,0.291,3,False,Not significant,False
26350,ÇØ¿î´ë±¸,2207.554717843467,7.700093606751153,0.03530976846968967,0.492,3,False,Not significant,False
26380,»çÇÏ±¸,7912.159182589598,8.976282371998492,-0.7872539147448243,0.424,4,False,Not significant,False
26410,±ÝÁ¤±¸,1007.8146724978475,6.916531329051132,0.3578001690443011,0.436,3,False,Not significant,False
26440,°­¼­±¸,1678.8067081601946,7.426434011111458,0.6060272478767232,0.122,3,False,Not significant,False
26470,¿¬Á¦±¸,4817.521889449429,8.480222498074305,0.06053736746794028,0.375,1,False,Not significant,False
26500,¼ö¿µ±¸,4965.657398694017,8.510502337228939,-0.16473865061745646,0.415,4,False,Not significant,False
26530,»ç»ó±¸,1690.3684525755589,7.433293215510206,0.3033293617107024,0.388,3,False,Not significant,False
27110,Áß±¸,4585.06466702177,8.430777564282621,0.06856101853294387,0.355,1,False,Not significant,False
27140,µ¿±¸,1247.8328397193889,7.129964665876113,0.14754794776414543,0.341,3,False,Not significant,False
27170,¼­±¸,5438.808493625995,8.60149913585276,0.468751934813635,0.218,1,False,Not significant,False
27200,³²±¸,2955.334059712458,7.991705286411027,-0.05202027628187672,0.218,2,False,Not significant,False
27230,ºÏ±¸,1855.065310672618,7.526214101667017,0.4691848917503042,0.16,3,False,Not significant,False
27260,¼ö¼º±¸,3043.4011371818906,8.021059489925518,0.03200033558834085,0.266,3,False,Not significant,False
27290,´Þ¼­±¸,4384.622138558157,8.386086773547035,0.21706850371980618,0.197,1,False,Not significant,False
27710,´Þ¼º±º,1076.9800938677758,6.982844285498611,0.09896652126035935,0.473,3,False,Not significant,False
27720,±ºÀ§±º,1185.1237711632452,7.078445934283898,0.42108832746759606,0.081,3,False,Not significant,False
28110,Áß±¸,765.2234124221397,6.641473788341262,-0.9017645612878862,0.168,2,False,Not significant,False
28140,µ¿±¸,3624.4338225430865,8.195729235312571,0.15571590171812028,0.169,1,False,Not significant,False
28177,¹ÌÃßÈ¦±¸,5463.543937924588,8.60603594569646,-0.0013091044284884877,0.461,4,False,Not significant,False
28185,¿¬¼ö±¸,2934.0827625055113,7.984490930333285,-0.09987959124497915,0.111,2,False,Not significant,False
28200,³²µ¿±¸,5475.741573867129,8.60826559978649,0.06588062692539581,0.395,1,False,Not significant,False
28237,ºÎÆò±¸,4945.334679799863,8.506402112553062,-0.2730838495488371,0.443,4,False,Not significant,False
28245,°è¾ç±¸,2245.389930631792,7.717079731374772,-0.2730838495488371,0.214,2,False,Not significant,False
28260,¼­±¸,8209.421298268706,9.013159516387955,0.0,0.001,4,True,HL,False
28710,°­È­±º,1381.7667636611652,7.231841672222862,-0.0,0.001,3,True,LL,False
29110,µ¿±¸,694.1034727482291,6.544060716135147,0.49560871929551625,0.181,3,False,Not significant,False
29140,¼­±¸,2697.658193092896,7.900509962942978,0.15516267755613403,0.07,3,False,Not significant,False
29155,³²±¸,1768.5455391185064,7.478478035039843,0.3539717615934485,0.2,3,False,Not significant,False
29170,ºÏ±¸,1523.1435440937432,7.329187920848972,0.41451084546115136,0.2,3,False,Not significant,False
29200,±¤»ê±¸,1422.9591328161277,7.261196392695022,-0.5600236618365974,0.116,2,False,Not significant,False
30110,µ¿±¸,567.7426415143427,6.343428032184703,0.8377924439656956,0.1,3,False,Not significant,False
30140,Áß±¸,1258.487506043116,7.138460175968248,0.8388511872993826,0.083,3,False,Not significant,False
30170,¼­±¸,1897.8732271075578,7.549015950873284,-0.0,0.001,3,True,LL,False
30200,À¯¼º±¸,1204.8482635004943,7.094938551378426,-0.0,0.001,3,True,LL,False
30230,´ë´ö±¸,1263.3970148945184,7.142350619451708,0.8367337006320088,0.083,3,False,Not significant,False
31110,Áß±¸,1817.8821870023146,7.505977408417459,0.49654241725689463,0.154,3,False,Not significant,False
31140,³²±¸,12455.487613542085,9.429996859628002,-2.422389869799898,0.275,4,False,Not significant,False
31170,µ¿±¸,1491.2703273714576,7.3080539489170855,0.6135928636294914,0.154,3,False,Not significant,False
31200,ºÏ±¸,1013.3849285812773,6.92203772610145,0.4670337376520591,0.159,3,False,Not significant,False
31710,¿ïÁÖ±º,1603.4366875821188,7.380528000489428,-2.422389869799898,0.011,2,True,LH,False
36110,¼¼Á¾Æ¯º°ÀÚÄ¡½Ã,5122.127860040258,8.541520441668016,0.0,0.001,4,True,HL,False
41111,¼ö¿ø½Ã Àå¾È±¸,3718.9155116690386,8.221456235092347,0.0,0.001,4,True,HL,False
