지역,경도,위도,농도,비고
영등포,126.90 ,37.53 ,8.32 ,도심
중랑,127.09 ,37.58 ,7.12 ,도심
종로,127.00 ,37.57 ,8.43 ,도심
관악,126.93 ,37.49 ,8.89 ,도심
강서,126.84 ,37.54 ,9.87 ,도심
강남,127.05 ,37.52 ,8.35 ,도심
강동,127.14 ,37.55 ,8.08 ,도심
강북,127.01 ,37.65 ,5.39 ,도심
시화,126.76 ,37.32 ,11.88 ,산단
송도,126.64 ,37.39 ,7.73 ,도심
포곡,127.22 ,37.31 ,25.56 ,축사(돈사)
모현,127.27 ,37.32 ,2.62 ,배경
비봉,126.88 ,37.21 ,14.38 ,농지
팔등,128.35 ,36.40 ,365.40 ,축사(우사)
월아산,128.20 ,35.20 ,2.98 ,배경
통영,128.41 ,34.86 ,4.52 ,소각장
상주,128.38 ,36.50 ,170.70 ,축사(계사)
복룡,128.18 ,36.42 ,20.95 ,농지
정촌,128.11 ,35.12 ,5.22 ,산단
고성,128.35 ,34.97 ,11.86 ,농지
진주,128.11 ,35.18 ,10.10 ,도심
장양,126.59 ,36.57 ,49.55 ,축사(계사)
신유,126.91 ,36.74 ,11.83 ,농지
산수,126.73 ,36.66 ,63.67 ,축사(계사)
노은,126.91 ,36.74 ,15.22 ,농지
장대,127.34 ,36.36 ,10.32 ,도심
구만,126.75 ,36.75 ,17.46 ,농지
도장,127.17 ,36.75 ,15.22 ,축사(우사)
부곡,126.78 ,36.95 ,21.97 ,산단
약촌,126.97 ,35.94 ,20.07 ,산단
용암,126.98 ,35.83 ,260.60 ,축사(돈사)
월산,126.74 ,35.54 ,16.85 ,농지
신용,127.04 ,36.03 ,5.25 ,배경
소룡,126.65 ,35.98 ,26.96 ,산단
신평,126.77 ,35.70 ,23.30 ,농지
익산,126.94 ,35.96 ,-,도심
고교,126.77 ,35.58 ,49.96 ,축사(우사)
봉산,126.68 ,35.42 ,14.26 ,산단
유치,127.87 ,37.58 ,59.32 ,축사(우사)
유치2,127.87 ,37.58 ,40.17 ,축사(돈사)
서원,127.93 ,37.34 ,12.11 ,도심
서곡,127.95 ,37.28 ,1.50 ,배경
묵계,127.98 ,37.47 ,14.58 ,산단
문암,127.05 ,37.46 ,17.89 ,축사(우사)
홍대,127.91 ,37.30 ,4.99 ,농지
간척,127.81 ,38.04 ,15.82 ,농지
둔둔,127.98 ,37.44 ,9.45 ,농지
