지역명,경도,위도,농도,비고
남양주시,127.152698,37.608191,10.08,
의정부시,127.08186,37.741652,5.46,
포천시,127.202623,37.88036,16.02,
서울 노원구,127.079859,37.633051,2.86,
수원시 장안구,126.984512,37.296974,5.71,
의왕시,126.979548,37.340349,19.57,
용인시 기흥구,127.156455,37.283003,8.52,
안성시,127.231052,37.032922,23.39,
화성시,126.905733,37.093115,15.25,
세종시,127.19082,36.546923,19.47,
홍성군,126.72904,36.655392,73.82,
당진시,126.784339,36.951746,29,
천안시 동남구,127.173529,36.745877,24.95,
청주시 흥덕구,127.374602,36.629369,10.65,
동구,127.460532,36.335801,5.45,
청주시,127.484566,36.479402,2.9,
화천군,127.819007,38.034195,12.12,
양구군,127.99153,38.048397,6.86,
홍천군,127.930317,37.737726,41.54,
횡성군,127.98178,37.471998,19.67,
횡성군,128.044807,37.463468,25.59,
원주시,127.950181,37.385748,8.21,
춘천시,127.755825,37.898261,3.7,
,127.882097,37.676826,1.46,
,127.921099,38.038168,1.71,
,128.832571,35.079435,6.78,
남구,129.351867,35.518449,10.19,
동구,128.694911,35.864869,10.35,
청도군,128.799582,35.703507,179.33,
밀양시,128.7601,35.45694,10.54,
창원시 성산구,128.681916,35.228374,10.16,
창원시 성산구,128.650362,35.209579,6.87,
김해시,128.901199,35.250536,3.83,
,129.073932,35.839278,3.19,
장수군,127.509556,35.620561,16.08,
남원시,127.475537,35.487202,63.93,
고창군,126.684662,35.420447,18.33,
고창군,126.739066,35.537529,16.84,
정읍시,126.77264,35.581556,73.91,
부안군,126.771833,35.696272,23.73,
군산시,126.652877,35.978148,51.39,
익산시,126.955747,35.972232,19,
무안군,126.389015,34.927773,13.79,
무안군,126.434781,34.908605,5.44,
진안군,127.412375,35.76884,3.31,
,127.1527,37.6082,22.7204,
,127.0816,37.7422,40.8392,
,127.2028,37.8801,36.9566,
,127.0814,37.6333,36.0938,
,126.9796,37.3403,80.2404,
,127.1581,37.2825,23.4394,
,126.9054,37.0925,80.6718,
,127.8142,38.0367,27.7534,
,127.9257,37.7417,132.296,
,127.8821,37.6766,48.4606,
,127.9827,37.4724,50.1862,
,128.0449,37.4636,79.09,
,127.9502,37.3854,27.1782,
,127.4851,36.479,19.1254,
,126.7494,36.7452,56.3696,
,126.7293,36.655,114.7524,
,126.5915,36.9517,188.378,
,126.7852,36.9517,102.9608,
,126.9135,36.7394,31.3484,
,127.1734,36.7456,38.826,
,128.8316,35.083,11.6478,
,129.3517,35.5162,26.7468,
,129.0739,35.8391,2.157,
,128.7994,35.7031,140.4926,
,128.7571,35.4568,53.3498,
,128.6832,35.2285,19.1254,
,128.6504,35.2097,24.0146,
,127.5105,35.6201,25.0212,
,127.4751,35.4868,200.7448,
,126.6847,35.4213,31.7798,
,126.7385,35.5375,21.8576,
,126.7726,35.5815,41.1268,
,126.7725,35.6961,55.0754,
,126.6546,35.9786,100.3724,
