CD,Region,배출량
51150,강릉시,1293962 
51820,고성군,300103 
51170,동해시,933876 
51230,삼척시,1313616 
51210,속초시,38503 
51800,양구군,241019 
51830,양양군,300191 
51750,영월군,408365 
51130,원주시,1788916 
51810,인제군,205845 
51770,정선군,248438 
51780,철원군,2125199 
51110,춘천시,730736 
51190,태백시,82566 
51760,평창군,503035 
51720,홍천군,1249273 
51790,화천군,365709 
51730,횡성군,1591829 
41820,가평군,509967 
41281,고양시 덕양구,280926 
41285,고양시 일산동구,384648 
41287,고양시 일산서구,153501 
41290,과천시,25766 
41210,광명시,114539 
41610,광주시,424256 
41310,구리시,64962 
41410,군포시,103425 
41570,김포시,963757 
41360,남양주시,554923 
41250,동두천시,558751 
41192,부천시 원미구,110700 
41194,부천시 소사구,110700 
41196,부천시 오정구,110700 
41135,성남시 분당구,399190 
41131,성남시 수정구,73185 
41133,성남시 중원구,67533 
41113,수원시 권선구,142493 
41117,수원시 영통구,165233 
41111,수원시 장안구,123931 
41115,수원시 팔달구,89849 
41390,시흥시,245954 
41273,안산시 단원구,252349 
41271,안산시 상록구,150590 
41550,안성시,4936687 
41173,안양시 동안구,267298 
41171,안양시 만안구,67615 
41630,양주시,1284565 
41830,양평군,964812 
41670,여주시,2538982 
41800,연천군,1147628 
41370,오산시,184321 
41463,용인시 기흥구,275268 
41465,용인시 수지구,467376 
41461,용인시 처인구,1895200 
41430,의왕시,58936 
41150,의정부시,251287 
41500,이천시,5350170 
41480,파주시,1319127 
41220,평택시,2894328 
41650,포천시,4578103 
41450,하남시,248165 
41590,화성시,3537646 
48310,거제시,159489 
48880,거창군,1519590 
48820,고성군,2346563 
48250,김해시,3188956 
48840,남해군,373901 
48270,밀양시,1421357 
48240,사천시,475648 
48860,산청군,863177 
48330,양산시,699023 
48720,의령군,1321657 
48170,진주시,1173045 
48740,창녕군,1826525 
48125,창원시 마산합포구,342492 
48127,창원시 마산회원구,124289 
48123,창원시 성산구,162884 
48121,창원시 의창구,372488 
48129,창원시 진해구,94794 
48220,통영시,81903 
48850,하동군,1765029 
48730,함안군,1527393 
48870,함양군,886031 
48890,합천군,2201684 
47290,경산시,1115188 
47130,경주시,3153451 
47830,고령군,1536089 
47190,구미시,1860294 
47150,김천시,2204514 
47280,문경시,1253363 
47920,봉화군,1458567 
47250,상주시,2466639 
47840,성주군,1109775 
47170,안동시,1714546 
47770,영덕군,298082 
47760,영양군,123879 
47210,영주시,2989186 
47230,영천시,2666204 
47900,예천군,1512325 
47940,울릉군,22107 
47930,울진군,264007 
47730,의성군,2140130 
47820,청도군,928656 
47750,청송군,306474 
47850,칠곡군,982900 
47111,포항시 남구,847577 
47113,포항시 북구,935843 
29200,광산구,315784 
29155,남구,106940 
29110,동구,33828 
29170,북구,181748 
29140,서구,128285 
27720,군위군,726566 
27200,남구,52404 
27290,달서구,275472 
27710,달성군,456092 
27140,동구,226425 
