CD,Region,대분류
51150,강릉시,생산공정
51820,고성군,농업
51170,동해시,생산공정
51230,삼척시,생산공정
51210,속초시,기타 면오염원
51800,양구군,농업
51830,양양군,농업
51750,영월군,농업
51130,원주시,농업
51810,인제군,농업
51770,정선군,농업
51780,철원군,농업
51110,춘천시,농업
51190,태백시,농업
51760,평창군,농업
51720,홍천군,농업
51790,화천군,농업
51730,횡성군,농업
41820,가평군,농업
41281,고양시 덕양구,농업
41285,고양시 일산동구,농업
41287,고양시 일산서구,농업
41290,과천시,기타 면오염원
41210,광명시,기타 면오염원
41610,광주시,농업
41310,구리시,기타 면오염원
41410,군포시,기타 면오염원
41570,김포시,농업
41360,남양주시,농업
41250,동두천시,농업
41192,부천시 원미구,기타 면오염원
41194,부천시 소사구,기타 면오염원
41196,부천시 오정구,기타 면오염원
41135,성남시 분당구,농업
41131,성남시 수정구,기타 면오염원
41133,성남시 중원구,기타 면오염원
41113,수원시 권선구,기타 면오염원
41117,수원시 영통구,기타 면오염원
41111,수원시 장안구,기타 면오염원
41115,수원시 팔달구,기타 면오염원
41390,시흥시,기타 면오염원
41273,안산시 단원구,기타 면오염원
41271,안산시 상록구,기타 면오염원
41550,안성시,농업
41173,안양시 동안구,생산공정
41171,안양시 만안구,기타 면오염원
41630,양주시,농업
41830,양평군,농업
41670,여주시,농업
41800,연천군,농업
41370,오산시,생산공정
41463,용인시 기흥구,농업
41465,용인시 수지구,농업
41461,용인시 처인구,농업
41430,의왕시,기타 면오염원
41150,의정부시,농업
41500,이천시,농업
41480,파주시,농업
41220,평택시,농업
41650,포천시,농업
41450,하남시,생산공정
41590,화성시,농업
48310,거제시,농업
48880,거창군,농업
48820,고성군,농업
48250,김해시,농업
48840,남해군,농업
48270,밀양시,농업
48240,사천시,농업
48860,산청군,농업
48330,양산시,농업
48720,의령군,농업
48170,진주시,농업
48740,창녕군,농업
48125,창원시 마산합포구,농업
48127,창원시 마산회원구,농업
48123,창원시 성산구,기타 면오염원
48121,창원시 의창구,농업
48129,창원시 진해구,기타 면오염원
48220,통영시,농업
48850,하동군,생산공정
48730,함안군,농업
48870,함양군,농업
48890,합천군,농업
47290,경산시,농업
47130,경주시,농업
47830,고령군,농업
47190,구미시,농업
47150,김천시,농업
47280,문경시,농업
47920,봉화군,농업
47250,상주시,농업
47840,성주군,농업
47170,안동시,농업
47770,영덕군,농업
47760,영양군,농업
47210,영주시,농업
47230,영천시,농업
47900,예천군,농업
47940,울릉군,농업
47930,울진군,농업
47730,의성군,농업
47820,청도군,농업
47750,청송군,농업
47850,칠곡군,농업
47111,포항시 남구,생산공정
47113,포항시 북구,농업
29200,광산구,농업
29155,남구,기타 면오염원
29110,동구,기타 면오염원
29170,북구,기타 면오염원
29140,서구,기타 면오염원
27720,군위군,농업
27200,남구,기타 면오염원
27290,달서구,기타 면오염원
27710,달성군,농업
27140,동구,기타 면오염원
27230,북구,기타 면오염원
27170,서구,기타 면오염원
27260,수성구,농업
27110,중구,기타 면오염원
30230,대덕구,기타 면오염원
30110,동구,기타 면오염원
30170,서구,기타 면오염원
30200,유성구,기타 면오염원
30140,중구,기타 면오염원
26440,강서구,에너지산업 연소
26410,금정구,기타 면오염원
26710,기장군,농업
26290,남구,기타 면오염원
26170,동구,기타 면오염원
26260,동래구,기타 면오염원
26230,부산진구,기타 면오염원
26320,북구,기타 면오염원
26530,사상구,기타 면오염원
26380,사하구,생산공정
26140,서구,기타 면오염원
26500,수영구,기타 면오염원
26470,연제구,기타 면오염원
26200,영도구,기타 면오염원
26110,중구,기타 면오염원
26350,해운대구,기타 면오염원
11680,강남구,기타 면오염원
11740,강동구,기타 면오염원
11305,강북구,기타 면오염원
11500,강서구,기타 면오염원
11620,관악구,기타 면오염원
11215,광진구,기타 면오염원
11530,구로구,기타 면오염원
11545,금천구,기타 면오염원
11350,노원구,기타 면오염원
11320,도봉구,기타 면오염원
11230,동대문구,기타 면오염원
11590,동작구,기타 면오염원
11440,마포구,생산공정
11410,서대문구,기타 면오염원
11650,서초구,기타 면오염원
11200,성동구,기타 면오염원
11290,성북구,기타 면오염원
11710,송파구,기타 면오염원
11470,양천구,기타 면오염원
11560,영등포구,기타 면오염원
11170,용산구,기타 면오염원
11380,은평구,기타 면오염원
11110,종로구,기타 면오염원
11140,중구,기타 면오염원
11260,중랑구,기타 면오염원
36110,세종시,농업
31140,남구,생산공정
31170,동구,기타 면오염원
31200,북구,농업
31710,울주군,농업
31110,중구,기타 면오염원
28710,강화군,농업
28245,계양구,기타 면오염원
28200,남동구,농업
28140,동구,기타 면오염원
28177,미추홀구,기타 면오염원
28237,부평구,기타 면오염원
28260,서구,생산공정
28185,연수구,기타 면오염원
28720,옹진군,생산공정
28110,중구,기타 면오염원
46810,강진군,농업
46770,고흥군,농업
46720,곡성군,농업
46230,광양시,생산공정
46730,구례군,농업
46170,나주시,농업
46710,담양군,농업
46110,목포시,농업
46840,무안군,농업
46780,보성군,농업
46150,순천시,농업
46910,신안군,농업
46130,여수시,생산공정
46870,영광군,농업
46830,영암군,농업
46890,완도군,농업
46880,장성군,농업
46800,장흥군,농업
46900,진도군,농업
46860,함평군,농업
46820,해남군,농업
46790,화순군,농업
52790,고창군,농업
52130,군산시,농업
52210,김제시,농업
52190,남원시,농업
52730,무주군,농업
52800,부안군,농업
52770,순창군,농업
52710,완주군,농업
52140,익산시,농업
52750,임실군,농업
52740,장수군,농업
52113,전주시 덕진구,농업
52111,전주시 완산구,농업
52180,정읍시,농업
