CD,Region,pig fraction
51150,강릉시,0.17
51820,고성군,0.18
51170,동해시,0
51230,삼척시,0.01
51210,속초시,0
51800,양구군,0
51830,양양군,0.41
51750,영월군,0.05
51130,원주시,0.47
51810,인제군,0.02
51770,정선군,0
51780,철원군,0.59
51110,춘천시,0.08
51190,태백시,0.13
51760,평창군,0.21
51720,홍천군,0.32
51790,화천군,0.24
51730,횡성군,0.07
41820,가평군,0.26
41281,고양시 덕양구,0.06
41285,고양시 일산동구,0.35
41287,고양시 일산서구,0.22
41290,과천시,0
41210,광명시,0.05
41610,광주시,0.08
41310,구리시,0
41410,군포시,0.22
41570,김포시,0.04
41360,남양주시,0.19
41250,동두천시,0.35
41192,부천시 원미구,0.16
41194,부천시 소사구,0.16
41196,부천시 오정구,0.16
41135,성남시 분당구,0.3
41131,성남시 수정구,0
41133,성남시 중원구,0
41113,수원시 권선구,0.24
41117,수원시 영통구,0.14
41111,수원시 장안구,0.36
41115,수원시 팔달구,0.12
41390,시흥시,0
41273,안산시 단원구,0
41271,안산시 상록구,0
41550,안성시,0.38
41173,안양시 동안구,0
41171,안양시 만안구,0
41630,양주시,0.38
41830,양평군,0.32
41670,여주시,0.35
41800,연천군,0.23
41370,오산시,0.02
41463,용인시 기흥구,0.43
41465,용인시 수지구,0.23
41461,용인시 처인구,0.64
41430,의왕시,0.06
41150,의정부시,0.33
41500,이천시,0.63
41480,파주시,0.04
41220,평택시,0.22
41650,포천시,0.22
41450,하남시,0
41590,화성시,0.23
48310,거제시,0
48880,거창군,0.18
48820,고성군,0.02
48250,김해시,0.7
48840,남해군,0.23
48270,밀양시,0.36
48240,사천시,0.17
48860,산청군,0.4
48330,양산시,0.38
48720,의령군,0.5
48170,진주시,0.41
48740,창녕군,0.25
48125,창원시 마산합포구,0.53
48127,창원시 마산회원구,0.43
48123,창원시 성산구,0.1
48121,창원시 의창구,0.38
48129,창원시 진해구,0.3
48220,통영시,0
48850,하동군,0.09
48730,함안군,0.62
48870,함양군,0.37
48890,합천군,0.59
47290,경산시,0.33
47130,경주시,0.35
47830,고령군,0.76
47190,구미시,0.22
47150,김천시,0.2
47280,문경시,0.28
47920,봉화군,0.22
47250,상주시,0.15
47840,성주군,0.46
47170,안동시,0.23
47770,영덕군,0.31
47760,영양군,0
47210,영주시,0.3
47230,영천시,0.4
47900,예천군,0.32
47940,울릉군,0.03
47930,울진군,0.12
47730,의성군,0.28
47820,청도군,0.39
47750,청송군,0.42
47850,칠곡군,0.32
47111,포항시 남구,0.13
47113,포항시 북구,0.28
29200,광산구,0.09
29155,남구,0.05
29110,동구,0
29170,북구,0.11
29140,서구,0.05
27720,군위군,0.26
27200,남구,0.1
27290,달서구,0.3
27710,달성군,0.09
27140,동구,0
27230,북구,0.11
