CD,Region,돼지,소,dominant
51150,강릉시,"215,236","115,671",돼지
51820,고성군,"52,640","170,995",일반 소
51170,동해시,"1,971","13,936",일반 소
51230,삼척시,"8,224","167,814",일반 소
51210,속초시,0,"3,123",일반 소
51800,양구군,0,"124,414",일반 소
51830,양양군,"122,973","118,186",돼지
51750,영월군,"19,737","193,273",일반 소
51130,원주시,"848,225","266,494",돼지
51810,인제군,"3,288","113,930",일반 소
51770,정선군,559,"147,232",일반 소
51780,철원군,"1,253,148","278,131",돼지
51110,춘천시,"57,821","292,100",일반 소
51190,태백시,"10,420","25,196",일반 소
51760,평창군,"107,490","211,721",일반 소
51720,홍천군,"396,468","525,514",일반 소
51790,화천군,"87,085","151,915",일반 소
51730,횡성군,"104,187","891,410",일반 소
41820,가평군,"131,881","148,141",일반 소
41281,고양시 덕양구,"17,353","17,875",일반 소
41285,고양시 일산동구,"134,933","57,401",돼지
41287,고양시 일산서구,"33,579","16,517",돼지
41290,과천시,0,191,일반 소
41210,광명시,"5,598","12,891",일반 소
41610,광주시,"33,579","75,127",일반 소
41310,구리시,0,"2,490",일반 소
41410,군포시,"22,393","2,695",돼지
41570,김포시,"39,184","155,279",일반 소
41360,남양주시,"104,111","84,061",돼지
41250,동두천시,"194,796","10,536",돼지
41192,부천시 원미구,"15,785",26,돼지
41194,부천시 소사구,"15,785",26,돼지
41196,부천시 오정구,"15,785",26,돼지
41135,성남시 분당구,"119,785",0,돼지
41131,성남시 수정구,0,0,돼지
41133,성남시 중원구,0,0,돼지
41113,수원시 권선구,"33,579","1,183",돼지
41117,수원시 영통구,"22,393","1,474",돼지
41111,수원시 장안구,"44,775","1,510",돼지
41115,수원시 팔달구,"11,196",36,돼지
41390,시흥시,0,"28,279",일반 소
41273,안산시 단원구,0,"3,510",일반 소
41271,안산시 상록구,0,"28,847",일반 소
41550,안성시,"1,871,816","1,251,729",돼지
41173,안양시 동안구,0,534,일반 소
41171,안양시 만안구,0,8,일반 소
41630,양주시,"492,250","171,728",돼지
41830,양평군,"312,342","261,869",돼지
41670,여주시,"881,644","340,470",돼지
41800,연천군,"266,311","149,541",돼지
41370,오산시,"3,925","2,564",돼지
41463,용인시 기흥구,"119,071","4,254",돼지
41465,용인시 수지구,"105,796","9,490",돼지
41461,용인시 처인구,"1,204,132","182,770",돼지
41430,의왕시,"3,359","2,124",돼지
41150,의정부시,"83,968",425,돼지
41500,이천시,"3,358,112","376,685",돼지
41480,파주시,"58,218","200,316",일반 소
41220,평택시,"622,560","256,939",돼지
41650,포천시,"1,013,287","246,326",돼지
41450,하남시,0,455,일반 소
41590,화성시,"824,289","515,359",돼지
48310,거제시,597,"31,853",일반 소
48880,거창군,"270,133","501,948",일반 소
48820,고성군,"52,640","170,995",일반 소
48250,김해시,"2,229,389","516,102",돼지
48840,남해군,"84,743","205,760",일반 소
48270,밀양시,"506,348","445,964",돼지
48240,사천시,"80,364","198,517",일반 소
48860,산청군,"342,505","194,592",돼지
48330,양산시,"268,075","28,012",돼지
48720,의령군,"663,822","288,854",돼지
48170,진주시,"482,023","226,738",돼지
48740,창녕군,"463,269","493,316",일반 소
48125,창원시 마산합포구,"182,909","60,177",돼지
48127,창원시 마산회원구,"53,674","9,168",돼지
48123,창원시 성산구,"16,949","5,586",돼지
48121,창원시 의창구,"141,376","68,987",돼지
48129,창원시 진해구,"28,248","3,341",돼지
48220,통영시,0,"19,598",일반 소
48850,하동군,"153,983","252,439",일반 소
48730,함안군,"948,560","218,223",돼지
48870,함양군,"330,907","224,192",돼지
48890,합천군,"1,293,644","630,384",돼지
