CD,Region,kg/명
51150,강릉시,6.05
51820,고성군,10.79
51170,동해시,10.83
51230,삼척시,20.67
51210,속초시,0.48
51800,양구군,11.51
51830,양양군,11.3
51750,영월군,11.48
51130,원주시,4.9
51810,인제군,6.54
51770,정선군,7.58
51780,철원군,52.21
51110,춘천시,2.5
51190,태백시,2.15
51760,평창군,12.91
51720,홍천군,19.19
51790,화천군,16.35
51730,횡성군,34.76
41820,가평군,8.51
41281,고양시 덕양구,0.58
41285,고양시 일산동구,1.35
41287,고양시 일산서구,0.55
41290,과천시,0.34
41210,광명시,0.42
41610,광주시,1.07
41310,구리시,0.35
41410,군포시,0.39
41570,김포시,1.94
41360,남양주시,0.77
41250,동두천시,6.12
41192,부천시 원미구,0.38
41194,부천시 소사구,0.38
41196,부천시 오정구,0.38
41135,성남시 분당구,0.88
41131,성남시 수정구,0.3
41133,성남시 중원구,0.32
41113,수원시 권선구,0.38
41117,수원시 영통구,0.45
41111,수원시 장안구,0.45
41115,수원시 팔달구,0.42
41390,시흥시,0.43
41273,안산시 단원구,0.71
41271,안산시 상록구,0.42
41550,안성시,23.46
41173,안양시 동안구,0.88
41171,안양시 만안구,0.29
41630,양주시,4.76
41830,양평군,8.09
41670,여주시,21.88
41800,연천군,27.99
41370,오산시,0.76
41463,용인시 기흥구,0.64
41465,용인시 수지구,1.28
41461,용인시 처인구,6.92
41430,의왕시,0.38
41150,의정부시,0.55
41500,이천시,23.39
41480,파주시,2.66
41220,평택시,4.78
41650,포천시,29.14
41450,하남시,0.77
41590,화성시,3.63
48310,거제시,0.67
48880,거창군,25.94
48820,고성군,84.38
48250,김해시,5.81
48840,남해군,9.42
48270,밀양시,13.83
48240,사천시,4.36
48860,산청군,26.24
48330,양산시,1.97
48720,의령군,53.23
48170,진주시,3.37
48740,창녕군,31.24
48125,창원시 마산합포구,1.92
48127,창원시 마산회원구,0.69
48123,창원시 성산구,0.67
48121,창원시 의창구,1.74
48129,창원시 진해구,0.5
48220,통영시,0.67
48850,하동군,45.11
48730,함안군,24.57
48870,함양군,24.96
48890,합천군,55.5
47290,경산시,3.76
47130,경주시,12.15
47830,고령군,50.33
47190,구미시,4.57
47150,김천시,16.04
47280,문경시,18.84
47920,봉화군,51.3
47250,상주시,26.53
47840,성주군,27.02
47170,안동시,11.09
47770,영덕군,8.9
47760,영양군,8.15
47210,영주시,29.75
47230,영천시,26.53
47900,예천군,27.87
47940,울릉군,2.63
47930,울진군,5.78
47730,의성군,44.66
47820,청도군,23.21
47750,청송군,13.27
47850,칠곡군,8.74
47111,포항시 남구,3.73
47113,포항시 북구,3.51
29200,광산구,0.76
29155,남구,0.41
29110,동구,0.39
29170,북구,0.67
29140,서구,1.23
27720,군위군,33.33
27200,남구,0.2
27290,달서구,0.51
27710,달성군,1.71
27140,동구,2.59
27230,북구,0.64
27170,서구,0.91
27260,수성구,0.59
27110,중구,0.25
30230,대덕구,0.51
30110,동구,0.89
30170,서구,1.74
30200,유성구,0.56
30140,중구,0.61
26440,강서구,0.55
26410,금정구,0.3
26710,기장군,0.62
26290,남구,0.32
26170,동구,0.34
26260,동래구,0.31
26230,부산진구,0.29
26320,북구,0.29
26530,사상구,0.29
26380,사하구,1.11
26140,서구,0.29
26500,수영구,0.3
26470,연제구,0.29
26200,영도구,0.31
26110,중구,0.13
26350,해운대구,0.31
11680,강남구,0.33
11740,강동구,0.29
11305,강북구,0.28
11500,강서구,0.31
11620,관악구,0.27
11215,광진구,0.27
11530,구로구,0.26
11545,금천구,0.27
11350,노원구,0.3
11320,도봉구,0.29
11230,동대문구,0.27
11590,동작구,0.28
11440,마포구,0.71
11410,서대문구,0.27
11650,서초구,0.33
11200,성동구,0.3
11290,성북구,0.28
11710,송파구,0.31
11470,양천구,0.3
11560,영등포구,0.27
11170,용산구,0.3
11380,은평구,0.29
11110,종로구,0.3
11140,중구,0.31
11260,중랑구,0.29
36110,세종시,6.16
31140,남구,3.54
31170,동구,0.61
31200,북구,0.59
31710,울주군,5.43
31110,중구,0.53
28710,강화군,8.55
28245,계양구,0.37
28200,남동구,0.63
28140,동구,0.3
28177,미추홀구,0.33
28237,부평구,0.32
28260,서구,9.43
28185,연수구,0.42
28720,옹진군,71.33
28110,중구,0.85
46810,강진군,40.18
46770,고흥군,28.22
46720,곡성군,35.29
46230,광양시,8.21
46730,구례군,24.97
46170,나주시,32.12
46710,담양군,25.17
46110,목포시,1.32
46840,무안군,34.11
46780,보성군,34.91
46150,순천시,6.55
46910,신안군,15.37
46130,여수시,6.48
46870,영광군,32.09
46830,영암군,42.26
46890,완도군,5.21
46880,장성군,26.02
46800,장흥군,53.27
46900,진도군,10.05
46860,함평군,95.1
46820,해남군,27.33
46790,화순군,16.24
52790,고창군,55.07
52130,군산시,7.46
52210,김제시,40.28
52190,남원시,32.98
52730,무주군,13.73
52800,부안군,42.44
52770,순창군,50.82
52710,완주군,12.4
52140,익산시,10.31
52750,임실군,51.96
52740,장수군,54.99
52113,전주시 덕진구,1.03
52111,전주시 완산구,2.23
52180,정읍시,44.57
52720,진안군,22.83
50130,서귀포시,9.39
50110,제주시,9.02
44250,계룡시,1.17
44150,공주시,21.12
44710,금산군,9.47
44230,논산시,22.2
44270,당진시,33.36
44180,보령시,38.29
44760,부여군,25.37
44210,서산시,8.52
44770,서천군,19.17
44200,아산시,5.82
44810,예산군,44.88
44131,천안시 동남구,13.54
44133,천안시 서북구,3.02
44790,청양군,41.81
44825,태안군,36.01
44800,홍성군,65.96
43760,괴산군,43.99
43800,단양군,17.84
43720,보은군,36.49
43740,영동군,12.35
43730,옥천군,19.98
43770,음성군,19.87
43150,제천시,5.34
43745,증평군,7.6
43750,진천군,15.78
43111,청주시 상당구,3.32
43112,청주시 서원구,1.52
43114,청주시 청원구,5.47
43113,청주시 흥덕구,3.23
43130,충주시,8.66
