CD,Region,소분류(11개 타입),배출량,전체 배출량,비중,code1,인간제외 소분류(기타시 중분류),code2,,,
51150,강릉시,SCR,"619,234","1,293,962",48%,14,SCR,14,,종류,코드
51820,고성군,일반 소,"170,995","300,103",57%,2,일반 소,2,,인간,1
51170,동해시,SNCR,"511,935","933,876",55%,15,SNCR,15,,일반 소,2
51230,삼척시,SCR,"680,758","1,313,616",52%,14,SCR,14,,돼지,3
51210,속초시,인간,"20,513","38,503",53%,1,농경지,8,,젖소,4
51800,양구군,일반 소,"124,414","241,019",52%,2,일반 소,2,,닭,5
51830,양양군,돼지,"122,973","300,191",41%,3,돼지,3,,가금류,6
51750,영월군,일반 소,"193,273","408,365",47%,2,일반 소,2,,기타 가금류,7
51130,원주시,돼지,"848,225","1,788,916",47%,3,돼지,3,,농경지,8
51810,인제군,일반 소,"113,930","205,845",55%,2,일반 소,2,,농업.축산.수산업시설,9
51770,정선군,일반 소,"147,232","248,438",59%,2,일반 소,2,,주거용시설,10
51780,철원군,돼지,"1,253,148","2,125,199",59%,3,돼지,3,,상업 및 공공기관시설,11
51110,춘천시,일반 소,"292,100","730,736",40%,2,일반 소,2,,공정로(제조업),12
51190,태백시,일반 소,"25,196","82,566",31%,2,일반 소,2,,강철 재가열로,13
51760,평창군,일반 소,"211,721","503,035",42%,2,일반 소,2,,SCR,14
51720,홍천군,일반 소,"525,514","1,249,273",42%,2,일반 소,2,,SNCR,15
51790,화천군,일반 소,"151,915","365,709",42%,2,일반 소,2,,코우크스 오븐(누출 및 소화),16
51730,횡성군,일반 소,"891,410","1,591,829",56%,2,일반 소,2,,"1,2,3종(보일러)",17
41820,가평군,일반 소,"148,141","509,967",29%,2,일반 소,2,,기타 운송장비 제조업,18
41281,고양시 덕양구,인간,"124,110","280,926",44%,1,닭,5,,차,19
41285,고양시 일산동구,돼지,"134,933","384,648",35%,3,돼지,3,,,
41287,고양시 일산서구,인간,"71,718","153,501",47%,1,돼지,3,,,
41290,과천시,인간,"20,250","25,766",79%,1,농경지,8,,,
41210,광명시,인간,"70,049","114,539",61%,1,일반 소,2,,,
41610,광주시,닭,"136,584","424,256",32%,5,닭,5,,,
