CD,Region,소분류(11개 타입)
51210,속초시,인간
41281,고양시 덕양구,인간
41287,고양시 일산서구,인간
41290,과천시,인간
41210,광명시,인간
41310,구리시,인간
41410,군포시,인간
41360,남양주시,인간
41192,부천시 원미구,인간
41194,부천시 소사구,인간
41196,부천시 오정구,인간
41131,성남시 수정구,인간
41133,성남시 중원구,인간
41113,수원시 권선구,인간
41117,수원시 영통구,인간
41111,수원시 장안구,인간
41115,수원시 팔달구,인간
41390,시흥시,인간
41273,안산시 단원구,인간
41271,안산시 상록구,인간
41171,안양시 만안구,인간
41430,의왕시,인간
41150,의정부시,인간
48310,거제시,인간
48123,창원시 성산구,인간
48129,창원시 진해구,인간
48220,통영시,인간
29200,광산구,인간
29155,남구,인간
29110,동구,인간
29170,북구,인간
29140,서구,인간
27200,남구,인간
27290,달서구,인간
27140,동구,인간
27230,북구,인간
27170,서구,인간
27260,수성구,인간
27110,중구,인간
30230,대덕구,인간
30110,동구,인간
30170,서구,인간
30200,유성구,인간
30140,중구,인간
26410,금정구,인간
26710,기장군,인간
26290,남구,인간
26170,동구,인간
26260,동래구,인간
26230,부산진구,인간
26320,북구,인간
26530,사상구,인간
26140,서구,인간
26500,수영구,인간
26470,연제구,인간
26200,영도구,인간
26110,중구,인간
26350,해운대구,인간
11680,강남구,인간
11740,강동구,인간
11305,강북구,인간
11500,강서구,인간
11620,관악구,인간
11215,광진구,인간
11530,구로구,인간
11545,금천구,인간
11350,노원구,인간
11320,도봉구,인간
11230,동대문구,인간
11590,동작구,인간
11410,서대문구,인간
11650,서초구,인간
11200,성동구,인간
11290,성북구,인간
11710,송파구,인간
11470,양천구,인간
11560,영등포구,인간
11170,용산구,인간
11380,은평구,인간
11110,종로구,인간
11140,중구,인간
11260,중랑구,인간
31170,동구,인간
31200,북구,인간
31110,중구,인간
28245,계양구,인간
28140,동구,인간
28177,미추홀구,인간
28237,부평구,인간
28185,연수구,인간
28110,중구,인간
